label	Sample collection date	Sample collection date decimal
Coli_000199	1989-07-01	1989.495890410959
Coli_000200	1991-07-01	1991.495890410959
Coli_000201	1952-07-01	1952.4972677595629
Coli_000202	2002-07-01	2002.495890410959
Coli_000203	1999-07-01	1999.495890410959
Coli_000204	2003-07-01	2003.495890410959
Coli_000205	1991-07-01	1991.495890410959
Coli_000206	1991-07-01	1991.495890410959
Coli_000207	1967-07-01	1967.495890410959
Coli_000208	2008-07-01	2008.4972677595629
Coli_000209	2008-07-01	2008.4972677595629
Coli_000210	1992-07-01	1992.4972677595629
Coli_000211	1994-07-01	1994.495890410959
Coli_000212	1994-07-01	1994.495890410959
Coli_000213	1987-07-01	1987.495890410959
Coli_000214	2011-07-01	2011.495890410959
Coli_000215	2011-07-01	2011.495890410959
Coli_000216	2011-07-01	2011.495890410959
Coli_000217	2012-07-01	2012.4972677595629
Coli_000218	2011-07-01	2011.495890410959
Coli_000219	2011-07-01	2011.495890410959
Coli_000220	2011-07-01	2011.495890410959
Coli_000221	2011-07-01	2011.495890410959
Coli_000222	2011-07-01	2011.495890410959
Coli_000223	2011-07-01	2011.495890410959
Coli_000224	2011-07-01	2011.495890410959
Coli_000225	2011-07-01	2011.495890410959
Coli_000226	2011-07-01	2011.495890410959
Coli_000227	2009-07-01	2009.495890410959
Coli_000228	2009-07-01	2009.495890410959
Coli_000229	1997-07-01	1997.495890410959
Coli_000230	1997-07-01	1997.495890410959
Coli_000231	1998-07-01	1998.495890410959
Coli_000232	1998-07-01	1998.495890410959
Coli_000233	1999-07-01	1999.495890410959
Coli_000234	1999-07-01	1999.495890410959
Coli_000235	1999-07-01	1999.495890410959
Coli_000236	2000-07-01	2000.4972677595629
Coli_000237	2000-07-01	2000.4972677595629
Coli_000238	2000-07-01	2000.4972677595629
Coli_000239	2000-07-01	2000.4972677595629
Coli_000240	2002-07-01	2002.495890410959
Coli_000241	2002-07-01	2002.495890410959
Coli_000242	2002-07-01	2002.495890410959
Coli_000243	2002-07-01	2002.495890410959
Coli_000244	2002-07-01	2002.495890410959
Coli_000245	2003-07-01	2003.495890410959
Coli_000246	2003-07-01	2003.495890410959
Coli_000247	2004-07-01	2004.4972677595629
Coli_000248	2004-07-01	2004.4972677595629
Coli_000249	2005-07-01	2005.495890410959
Coli_000250	2005-07-01	2005.495890410959
Coli_000251	2006-07-01	2006.495890410959
Coli_000252	2006-07-01	2006.495890410959
Coli_000253	2006-07-01	2006.495890410959
Coli_000254	2006-07-01	2006.495890410959
Coli_000255	2006-07-01	2006.495890410959
Coli_000256	2007-07-01	2007.495890410959
Coli_000257	2007-07-01	2007.495890410959
Coli_000258	2007-07-01	2007.495890410959
Coli_000259	2008-07-01	2008.4972677595629
Coli_000260	2008-07-01	2008.4972677595629
Coli_000261	2008-07-01	2008.4972677595629
Coli_000262	2008-07-01	2008.4972677595629
Coli_000263	2008-07-01	2008.4972677595629
Coli_000264	2008-07-01	2008.4972677595629
Coli_000265	2009-07-01	2009.495890410959
Coli_000266	2009-07-01	2009.495890410959
Coli_000267	2009-07-01	2009.495890410959
Coli_000268	2009-07-01	2009.495890410959
Coli_000269	2010-07-01	2010.495890410959
Coli_000270	2011-07-01	2011.495890410959
Coli_000271	2011-07-01	2011.495890410959
Coli_000272	2011-07-01	2011.495890410959
Coli_000273	1994-07-01	1994.495890410959
Coli_000274	1995-07-01	1995.495890410959
Coli_000275	1995-07-01	1995.495890410959
Coli_000276	1996-07-01	1996.4972677595629
Coli_000277	1996-07-01	1996.4972677595629
Coli_000278	1996-07-01	1996.4972677595629
Coli_000279	1997-07-01	1997.495890410959
Coli_000280	1997-07-01	1997.495890410959
Coli_000281	1997-07-01	1997.495890410959
Coli_000282	1997-07-01	1997.495890410959
Coli_000283	1998-07-01	1998.495890410959
Coli_000284	1998-07-01	1998.495890410959
Coli_000285	1998-07-01	1998.495890410959
Coli_000286	1998-07-01	1998.495890410959
Coli_000287	1998-07-01	1998.495890410959
Coli_000288	1999-07-01	1999.495890410959
Coli_000289	1999-07-01	1999.495890410959
Coli_000290	1999-07-01	1999.495890410959
Coli_000291	1999-07-01	1999.495890410959
Coli_000292	1999-07-01	1999.495890410959
Coli_000293	1999-07-01	1999.495890410959
Coli_000294	1999-07-01	1999.495890410959
Coli_000295	1999-07-01	1999.495890410959
Coli_000296	2000-07-01	2000.4972677595629
Coli_000297	2000-07-01	2000.4972677595629
Coli_000298	2001-07-01	2001.495890410959
Coli_000299	2001-07-01	2001.495890410959
Coli_000300	2001-07-01	2001.495890410959
Coli_000301	2001-07-01	2001.495890410959
Coli_000302	2003-07-01	2003.495890410959
Coli_000303	2003-07-01	2003.495890410959
Coli_000304	2003-07-01	2003.495890410959
Coli_000305	2003-07-01	2003.495890410959
Coli_000306	2003-07-01	2003.495890410959
Coli_000307	2003-07-01	2003.495890410959
Coli_000308	2003-07-01	2003.495890410959
Coli_000309	2003-07-01	2003.495890410959
Coli_000310	2004-07-01	2004.4972677595629
Coli_000311	2004-07-01	2004.4972677595629
Coli_000312	2004-07-01	2004.4972677595629
Coli_000313	2004-07-01	2004.4972677595629
Coli_000314	2004-07-01	2004.4972677595629
Coli_000315	2004-07-01	2004.4972677595629
Coli_000316	2005-07-01	2005.495890410959
Coli_000317	2005-07-01	2005.495890410959
Coli_000318	2005-07-01	2005.495890410959
Coli_000319	2005-07-01	2005.495890410959
Coli_000320	2005-07-01	2005.495890410959
Coli_000321	2005-07-01	2005.495890410959
Coli_000322	2005-07-01	2005.495890410959
Coli_000323	2005-07-01	2005.495890410959
Coli_000324	2005-07-01	2005.495890410959
Coli_000325	2005-07-01	2005.495890410959
Coli_000326	2005-07-01	2005.495890410959
Coli_000327	2006-07-01	2006.495890410959
Coli_000328	2006-07-01	2006.495890410959
Coli_000329	2006-07-01	2006.495890410959
Coli_000330	2006-07-01	2006.495890410959
Coli_000331	2006-07-01	2006.495890410959
Coli_000332	2006-07-01	2006.495890410959
Coli_000333	2006-07-01	2006.495890410959
Coli_000334	2006-07-01	2006.495890410959
Coli_000335	2006-07-01	2006.495890410959
Coli_000336	2007-07-01	2007.495890410959
Coli_000337	2007-07-01	2007.495890410959
